mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.012830305099487304,0.004670761797524918,0.6207818031311035,0.06573089602390124,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.12698412698412698,0.07511737089201878,0.10672853828306264,0.06103286384976526,0.09502262443438914,0.09297710488867256,0.023191240830951757,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011287498474121093,0.004688590199239613,2.4799928188323976,0.11768905246040404,manhattan,5,distance,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.10114942528735632,0.07962529274004684,0.07228915662650602,0.09026128266033254,0.0892018779342723,0.0865054070497028,0.009851523496267554,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.009486150741577149,0.005744328321652188,2.851055860519409,0.16372979826464062,manhattan,5,uniform,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.08801955990220049,0.05867970660146699,0.06565656565656566,0.07281553398058252,0.07389162561576355,0.07181259835131584,0.009781241446837962,3,0.20450395617772368,0.2265717674970344,0.2200841852074564,0.20413122721749696,0.20861127956337175,0.21278048313261663,0.008991511253847808
0.009324884414672852,0.006757549518969565,0.9756300926208497,0.05252074137953356,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.1070559610705596,0.054455445544554455,0.07481296758104738,0.03535353535353535,0.08653846153846154,0.07164327421763166,0.024893125769190116,4,0.18046971569839307,0.22989874925550924,0.2091346153846154,0.20253164556962025,0.19413919413919414,0.20323478400946643,0.016414917281905483
0.017360162734985352,0.015085867365709571,2.4258676052093504,0.08926444970859335,manhattan,7,distance,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.0759493670886076,0.06598984771573604,0.06217616580310881,0.07556675062972293,0.06683804627249357,0.06930403550193379,0.005500063684613268,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.006956768035888672,0.005341256605807095,0.47570409774780276,0.01667219877967061,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.07881773399014778,0.061068702290076333,0.04603580562659847,0.05012531328320802,0.05513784461152882,0.05823707996031189,0.011453021601757978,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.012341690063476563,0.0075335137554515316,2.5788599967956545,0.08186423366329722,manhattan,7,uniform,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.05851063829787234,0.03183023872679045,0.026881720430107527,0.061855670103092786,0.05851063829787234,0.04751778117114709,0.014961329255740377,7,0.12279555845852384,0.13125406107862247,0.13953488372093023,0.13793103448275862,0.13263979193758127,0.13283106593568328,0.005902301118455705
0.014194488525390625,0.0054973813080133735,0.8210927486419678,0.18661141159449146,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.05774278215223097,0.03183023872679045,0.032520325203252036,0.03655352480417755,0.042328042328042326,0.04019498264289867,0.009535247600658143,8,0.10949868073878628,0.12475633528265107,0.12345679012345678,0.14019292604501607,0.10796576695194207,0.12117409982837044,0.011751887548680154
0.010982608795166016,0.013074681022363033,3.206431341171265,0.23942228967159082,manhattan,11,distance,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.06933333333333333,0.01639344262295082,0.01680672268907563,0.0431266846361186,0.03287671232876712,0.035707379122049104,0.01961645494024635,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015186166763305664,0.011954544284912723,0.6047190666198731,0.21359918038786108,euclidean,11,distance,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.053763440860215055,0.01652892561983471,0.01662049861495845,0.03225806451612903,0.02717391304347826,0.029268968530923107,0.013679149181042896,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.015221071243286134,0.007920166996824215,2.717434215545654,0.3797645503056229,manhattan,11,uniform,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'uniform'}",0.04395604395604396,0.01662049861495845,0.005633802816901409,0.03287671232876712,0.016853932584269662,0.023188198060188122,0.013539461727604127,11,0.051175656984785614,0.05394190871369295,0.0497581202487906,0.05121107266435986,0.04030576789437109,0.049278505301200023,0.004686606012482645
0.006189393997192383,0.005066457517796762,0.8709793090820312,0.15470065693757296,euclidean,11,uniform,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'uniform'}",0.01662049861495845,0.022284122562674095,0.011235955056179775,0.027700831024930747,0.016853932584269662,0.018939067968602546,0.005603916203027057,12,0.044382801664355064,0.05259515570934256,0.04996530187369882,0.056668970283344854,0.047156726768377254,0.05015379125982371,0.00425981367689909
0.014111900329589843,0.006313688444871013,0.49884734153747556,0.05079330773762699,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.03305785123966942,0.0111731843575419,0.0113314447592068,0.027700831024930747,0.011142061281337047,0.018881074532537186,0.009540124833097336,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
