mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.015020275115966797,0.0028461192794109694,1.089630365371704,0.13185957742386645,euclidean,3,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.15071283095723015,0.0743801652892562,0.11715481171548117,0.09663865546218488,0.11691022964509394,0.11115933861384926,0.025286577591896533,10,0.40615384615384614,0.4204143506821627,0.39546858908341914,0.40380761523046094,0.38357588357588357,0.40188405694515444,0.0121790837286528
0.011798858642578125,0.0018330749589569504,0.5655949115753174,0.05285307238318283,euclidean,3,1,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.15619047619047619,0.08316831683168317,0.12277227722772277,0.11313131313131314,0.12941176470588237,0.12093482961741553,0.023687125680601374,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.011405706405639648,0.001015909874637467,0.8617321968078613,0.10298646479930518,euclidean,3,2,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.15071283095723015,0.0743801652892562,0.11715481171548117,0.09663865546218488,0.11691022964509394,0.11115933861384926,0.025286577591896533,10,0.40615384615384614,0.4204143506821627,0.39546858908341914,0.40380761523046094,0.38357588357588357,0.40188405694515444,0.0121790837286528
0.014099931716918946,0.003138821935544416,0.5256522178649903,0.017844035096022285,euclidean,3,2,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.15619047619047619,0.08316831683168317,0.12277227722772277,0.11313131313131314,0.12941176470588237,0.12093482961741553,0.023687125680601374,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.012196731567382813,0.0017211202266340145,0.8219124794006347,0.020881092279191518,euclidean,5,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.1070559610705596,0.054455445544554455,0.07481296758104738,0.03535353535353535,0.08653846153846154,0.07164327421763166,0.024893125769190116,22,0.18046971569839307,0.22989874925550924,0.2091346153846154,0.20253164556962025,0.19413919413919414,0.20323478400946643,0.016414917281905483
0.01632990837097168,0.008992269545570952,0.5330251216888428,0.023802366310722165,euclidean,5,1,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.12698412698412698,0.07511737089201878,0.10672853828306264,0.06103286384976526,0.09502262443438914,0.09297710488867256,0.023191240830951757,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.012197113037109375,0.0011675548581120368,0.845780324935913,0.026952454865849903,euclidean,5,2,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.1070559610705596,0.054455445544554455,0.07481296758104738,0.03535353535353535,0.08653846153846154,0.07164327421763166,0.024893125769190116,22,0.18046971569839307,0.22989874925550924,0.2091346153846154,0.20253164556962025,0.19413919413919414,0.20323478400946643,0.016414917281905483
0.012198925018310547,0.0020406262480993013,0.5294667243957519,0.01944464999099406,euclidean,5,2,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.12698412698412698,0.07511737089201878,0.10672853828306264,0.06103286384976526,0.09502262443438914,0.09297710488867256,0.023191240830951757,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.012000513076782227,0.0020975602180159708,0.8649852752685547,0.038720332925149356,euclidean,7,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.05774278215223097,0.03183023872679045,0.032520325203252036,0.03655352480417755,0.042328042328042326,0.04019498264289867,0.009535247600658143,40,0.10949868073878628,0.12475633528265107,0.12345679012345678,0.14019292604501607,0.10796576695194207,0.12117409982837044,0.011751887548680154
0.01140909194946289,0.0015168475967129206,0.5176403522491455,0.011505233520637507,euclidean,7,1,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.07881773399014778,0.061068702290076333,0.04603580562659847,0.05012531328320802,0.05513784461152882,0.05823707996031189,0.011453021601757978,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.013304948806762695,0.0018985134234681636,0.8203734874725341,0.019761956118957782,euclidean,7,2,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.05774278215223097,0.03183023872679045,0.032520325203252036,0.03655352480417755,0.042328042328042326,0.04019498264289867,0.009535247600658143,40,0.10949868073878628,0.12475633528265107,0.12345679012345678,0.14019292604501607,0.10796576695194207,0.12117409982837044,0.011751887548680154
0.011300134658813476,0.000873029632373587,0.5333198547363281,0.03709755875718283,euclidean,7,2,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.07881773399014778,0.061068702290076333,0.04603580562659847,0.05012531328320802,0.05513784461152882,0.05823707996031189,0.011453021601757978,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
